"id","horizon","alkylC","meth_N_alkylC","O_alkylC","di_O_alkylC","aromatic","O_aromaticC","carbonylC"
"29","F/H horizon",30.70218672,5.206030266,32.85134681,9.695177634,9.822400037,6.808016488,4.91484205
"30","F/H horizon",30.40814835,5.107281825,32.72457834,9.685381062,10.13636431,6.801521626,5.136724489
"31","F/H horizon",25.75,6.07,34.35,9.83,12.06,7.55,4.39
"32","F/H horizon",28.91257251,5.600882399,33.72677442,9.495181342,11.06763412,6.983236636,4.213718582
"33","F/H horizon",29.32348487,5.017589937,34.51034304,9.809626124,10.09553901,6.976474052,4.266942976
"34","F/H horizon",34.01,5.1,30.78,9.22,9.81,6.53,4.55
"35","F/H horizon",27.54063406,4.579243686,36.98081067,10.70271519,9.330248926,6.547545643,4.318801827
"36","F/H horizon",29.75,4.92,33.89,9.49,10.88,6.43,4.65
"37","F/H horizon",35.45645396,5.224619862,29.58129783,8.337236418,10.29938994,6.527895512,4.573106479
"38","F/H horizon",30.42422664,5.668007752,33.69166482,9.035834302,10.41907084,6.693708341,4.067487301
"39","F/H horizon",36.54,5.82,28.26,7.67,10.5,6.37,4.84
"40","F/H horizon",31.59,5.09,34,9.46,9.18,6.03,4.65
"41","F/H horizon",30.44030605,5.032444843,34.34988005,9.638579691,9.435702234,6.484051291,4.619035833
"42","F/H horizon",35.06,4.53,32.32,9.28,8.6,6.1,4.11
"43","F/H horizon",27.22,5,36.83,10.48,9.77,6.96,3.73
"44","F/H horizon",29.53,4.8,35.53,10.34,9.28,6.38,4.14
"45","F/H horizon",27.32,4.89,36.01,10.6,10.13,6.95,4.1
"48","F/H horizon",29.81460812,4.601705209,35.05695897,10.22025678,9.440061323,6.861849299,4.004560302
"52","F/H horizon",34.80320751,4.808923469,32.27238726,9.071869019,9.006696326,6.064886424,3.972029991
"56","F/H horizon",28.21675693,4.72510379,36.65565349,10.47734586,9.163196714,6.432047867,4.329895345
"68","F/H horizon",31.59542264,4.78419835,32.31479437,9.784831654,10.01923984,7.249933434,4.251579711
"69","F/H horizon",24.10733392,6.250030657,35.12843548,9.673752581,13.1706061,8.081257148,3.588584121
"70","F/H horizon",29.54,4.96,34.16,10.41,9.9,6.96,4.07
"71","F/H horizon",25.340974,5.711582188,34.07506204,9.851116083,12.70360062,8.208877247,4.108787822
"76","F/H horizon",33.41606825,5.297505556,32.18430154,8.696065575,10.22094814,5.95268079,4.232430162
"80","F/H horizon",33.42,4.89,32.96,9.56,8.79,6.25,4.12
"87","F/H horizon",28.55862057,4.719157373,36.1356025,10.37363951,9.438199313,6.612355358,4.16242537
"89","F/H horizon",35.37802928,4.777737329,29.07179413,8.72837378,11.11490769,6.730000231,4.199157558
